Overlap,Num,Method
25,12,XTREE
25,77,ALVES
25,97,SHATW
25,79,OLIVE
50,51,XTREE
50,17,ALVES
50,2,SHATW
50,15,OLIVE
75,24,XTREE
75,8,ALVES
75,0,SHATW
75,5,OLIVE
100,25,XTREE
100,0,ALVES
100,0,SHATW
100,1,OLIVE
25,12,XTREE
25,76,ALVES
25,97,SHATW
25,73,OLIVE
50,52,XTREE
50,19,ALVES
50,0,SHATW
50,18,OLIVE
75,21,XTREE
75,6,ALVES
75,0,SHATW
75,8,OLIVE
100,26,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,12,XTREE
25,71,ALVES
25,97,SHATW
25,71,OLIVE
50,53,XTREE
50,20,ALVES
50,2,SHATW
50,24,OLIVE
75,19,XTREE
75,8,ALVES
75,0,SHATW
75,5,OLIVE
100,27,XTREE
100,0,ALVES
100,0,SHATW
100,1,OLIVE
25,12,XTREE
25,73,ALVES
25,95,SHATW
25,77,OLIVE
50,56,XTREE
50,23,ALVES
50,9,SHATW
50,18,OLIVE
75,19,XTREE
75,6,ALVES
75,0,SHATW
75,5,OLIVE
100,26,XTREE
100,1,ALVES
100,0,SHATW
100,2,OLIVE
25,12,XTREE
25,76,ALVES
25,97,SHATW
25,72,OLIVE
50,53,XTREE
50,16,ALVES
50,1,SHATW
50,19,OLIVE
75,19,XTREE
75,7,ALVES
75,0,SHATW
75,9,OLIVE
100,27,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,12,XTREE
25,75,ALVES
25,97,SHATW
25,76,OLIVE
50,53,XTREE
50,20,ALVES
50,2,SHATW
50,18,OLIVE
75,19,XTREE
75,4,ALVES
75,0,SHATW
75,5,OLIVE
100,26,XTREE
100,1,ALVES
100,0,SHATW
100,2,OLIVE
25,12,XTREE
25,67,ALVES
25,97,SHATW
25,69,OLIVE
50,53,XTREE
50,25,ALVES
50,2,SHATW
50,24,OLIVE
75,21,XTREE
75,8,ALVES
75,0,SHATW
75,8,OLIVE
100,27,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,12,XTREE
25,76,ALVES
25,97,SHATW
25,72,OLIVE
50,53,XTREE
50,16,ALVES
50,2,SHATW
50,18,OLIVE
75,17,XTREE
75,7,ALVES
75,0,SHATW
75,6,OLIVE
100,27,XTREE
100,1,ALVES
100,0,SHATW
100,4,OLIVE
25,12,XTREE
25,72,ALVES
25,97,SHATW
25,78,OLIVE
50,51,XTREE
50,21,ALVES
50,2,SHATW
50,15,OLIVE
75,24,XTREE
75,7,ALVES
75,0,SHATW
75,5,OLIVE
100,27,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,12,XTREE
25,72,ALVES
25,97,SHATW
25,69,OLIVE
50,53,XTREE
50,20,ALVES
50,1,SHATW
50,23,OLIVE
75,19,XTREE
75,10,ALVES
75,0,SHATW
75,6,OLIVE
100,27,XTREE
100,1,ALVES
100,0,SHATW
100,3,OLIVE
