Overlap,Num,Method
25,12,XTREE
25,78,ALVES
25,103,SHATW
25,72,OLIVE
50,19,XTREE
50,7,ALVES
50,12,SHATW
50,5,OLIVE
75,25,XTREE
75,10,ALVES
75,0,SHATW
75,11,OLIVE
100,53,XTREE
100,12,ALVES
100,0,SHATW
100,18,OLIVE
25,11,XTREE
25,76,ALVES
25,103,SHATW
25,72,OLIVE
50,20,XTREE
50,7,ALVES
50,9,SHATW
50,4,OLIVE
75,28,XTREE
75,11,ALVES
75,0,SHATW
75,10,OLIVE
100,51,XTREE
100,13,ALVES
100,0,SHATW
100,21,OLIVE
25,12,XTREE
25,82,ALVES
25,103,SHATW
25,81,OLIVE
50,17,XTREE
50,8,ALVES
50,13,SHATW
50,5,OLIVE
75,26,XTREE
75,7,ALVES
75,0,SHATW
75,7,OLIVE
100,54,XTREE
100,11,ALVES
100,0,SHATW
100,12,OLIVE
25,12,XTREE
25,74,ALVES
25,103,SHATW
25,76,OLIVE
50,19,XTREE
50,9,ALVES
50,15,SHATW
50,4,OLIVE
75,26,XTREE
75,13,ALVES
75,0,SHATW
75,9,OLIVE
100,53,XTREE
100,14,ALVES
100,0,SHATW
100,15,OLIVE
25,12,XTREE
25,78,ALVES
25,103,SHATW
25,79,OLIVE
50,17,XTREE
50,8,ALVES
50,10,SHATW
50,5,OLIVE
75,26,XTREE
75,8,ALVES
75,0,SHATW
75,8,OLIVE
100,54,XTREE
100,13,ALVES
100,0,SHATW
100,14,OLIVE
25,12,XTREE
25,84,ALVES
25,103,SHATW
25,78,OLIVE
50,22,XTREE
50,3,ALVES
50,13,SHATW
50,4,OLIVE
75,28,XTREE
75,9,ALVES
75,0,SHATW
75,8,OLIVE
100,52,XTREE
100,10,ALVES
100,0,SHATW
100,15,OLIVE
25,12,XTREE
25,72,ALVES
25,103,SHATW
25,72,OLIVE
50,19,XTREE
50,10,ALVES
50,16,SHATW
50,8,OLIVE
75,26,XTREE
75,13,ALVES
75,0,SHATW
75,12,OLIVE
100,54,XTREE
100,14,ALVES
100,0,SHATW
100,15,OLIVE
25,12,XTREE
25,84,ALVES
25,103,SHATW
25,72,OLIVE
50,21,XTREE
50,7,ALVES
50,17,SHATW
50,7,OLIVE
75,26,XTREE
75,7,ALVES
75,0,SHATW
75,8,OLIVE
100,54,XTREE
100,9,ALVES
100,0,SHATW
100,21,OLIVE
25,12,XTREE
25,78,ALVES
25,103,SHATW
25,76,OLIVE
50,18,XTREE
50,7,ALVES
50,17,SHATW
50,6,OLIVE
75,26,XTREE
75,12,ALVES
75,0,SHATW
75,6,OLIVE
100,53,XTREE
100,9,ALVES
100,0,SHATW
100,16,OLIVE
25,12,XTREE
25,84,ALVES
25,103,SHATW
25,79,OLIVE
50,18,XTREE
50,6,ALVES
50,14,SHATW
50,6,OLIVE
75,26,XTREE
75,7,ALVES
75,0,SHATW
75,7,OLIVE
100,53,XTREE
100,8,ALVES
100,0,SHATW
100,14,OLIVE
