id,f_index,f_slice,f_sub,f_for,f_unaryop,f_exec,f_invert,f_dictcomp,f_param,f_bitxor,f_add,f_notin,f_call,f_comprehension,f_isnot,f_print,f_ellipsis,f_subscript,f_bitor,f_tryexcept,f_store,f_raise,f_break,f_return,f_gte,f_assert,f_tuple,f_repr,f_or,f_excepthandler,f_bitand,f_floordiv,f_arguments,f_tryfinally,f_generatorexp,f_not,f_uadd,f_delete,f_with,f_ifexp,f_mult,f_mod,f_boolop,f_rshift,f_name,f_binop,f_expr,f_setcomp,f_augassign,f_list,f_classdef,f_yield,f_set,f_while,f_continue,f_del,f_str,f_usub,f_div,f_assign,f_functiondef,f_lambda,f_and,f_extslice,f_compare,f_gt,f_keyword,f_in,f_noteq,f_attribute,f_is,f_global,f_lt,f_module,f_num,f_lte,f_pass,f_dict,f_if,f_eq,f_listcomp,f_lshift,f_pow,f_loc,expr
1,-0.0012,-0.0001565,-0.000262,-0.000415,-0.000242,-0.500001,-0.5000005,-1.30E-05,-0.0014405,-0.5000005,-0.001415,-4.05E-05,-0.0035295,-0.0010765,-0.5000045,-0.001517,-0.5000055,-0.001386,-0.500001,-0.000732,-0.0020165,-0.5000145,-9.10E-05,-0.0008845,-0.5000015,-0.5000055,-0.0008395,-0.5000015,-0.0001435,-0.0009345,-0.5000015,-4.40E-05,-0.000959,-0.5000025,-0.500002,-0.0001985,-0.5000005,-0.499595,-0.0001465,-0.000573,-0.0009715,-0.000498,-0.000336,-0.500001,-0.0089445,-0.001978,-0.004016,-0.500006,-0.000113,-0.000543,-0.0002235,-0.500002,-0.500003,-0.0001685,-5.05E-05,-0.4995645,-0.0033635,-0.500001,-0.000204,-0.0028625,-0.000982,-0.500004,-0.000202,-0.5,-0.0008155,-0.0006435,-0.0010665,-0.0001655,-7.40E-05,-0.007156,-0.500013,-0.500001,-0.0001885,-0.000176,-0.0066835,-0.5000015,-0.0002075,-0.0004045,-0.0009475,-0.000586,-0.0009835,-0.5000015,-0.500002,-300.5,3
2,-0.5007345,-0.5000085,-0.5000145,-0.5000375,-0.5000295,-0.500001,-0.5000005,-0.500001,-0.502377,-0.5000005,-0.5000815,-0.5000075,-0.526964,-0.500009,-0.5000045,-0.500002,-0.5000055,-0.5008275,-0.500001,-0.500012,-0.456811,-0.5000145,-0.500001,-0.500213,-0.5000015,-0.5000055,-0.5002025,-0.5000015,-0.500015,-0.500012,-0.5000015,-0.5000005,-0.5025125,-0.5000025,-0.500002,-0.5000295,-0.5000005,-0.500002,-0.500001,-0.5000015,-0.500005,-0.5000185,-0.5000305,-0.500001,-0.6158395,-0.500657,-0.002317,-0.500006,-0.500015,-0.4923595,-0.5000325,-0.500002,-0.500003,-0.500002,-0.5000025,-0.500002,-0.4254175,-0.500001,-0.500003,-0.464116,-0.5024635,-0.500004,-0.5000165,-0.5,-0.5013515,-0.50001,-0.483489,-0.5000295,-0.5000165,-0.523445,-0.500013,-0.500001,-0.50001,-0.495816,-0.5033355,-0.5000015,-0.5000205,-0.500078,-0.5018205,-0.500209,-0.500009,-0.5000015,-0.500002,-22.75,1
3,-0.0019215,-0.5000085,-0.5000145,-0.4955765,-0.5000295,-0.500001,-0.5000005,-0.500001,-0.0032065,-0.5000005,-0.000767,-0.5000075,-0.0025135,-0.49798,-0.5000045,-0.4933935,-0.5000055,-0.0016745,-0.500001,-0.500012,-0.003867,-0.497948,-0.500001,-0.001849,-0.5000015,-0.5000055,-0.001528,-0.5000015,-0.500015,-0.500012,-0.5000015,-0.5000005,-0.002206,-0.5000025,-0.000111,-0.5000295,-0.5000005,-0.500002,-0.0002085,-0.5000015,-0.500005,-0.000418,-0.5000305,-0.500001,-0.0040535,-0.0014745,-0.002446,-0.500006,-0.500015,-0.000632,-0.0005145,-0.000209,-0.500003,-0.500002,-0.5000025,-0.500002,-0.016613,-0.500001,-0.500003,-0.001656,-0.4875415,-0.500004,-0.5000165,-0.5,-0.0005375,-0.50001,-0.0051115,-0.498007,-7.40E-05,-0.523445,-0.00016,-0.500001,-0.50001,-0.0015485,-0.5033355,-0.5000015,-0.4988365,-0.000338,-0.0006895,-0.0006735,-0.4982495,-0.5000015,-0.500002,-106.75,2
4,-0.0020675,-0.4982455,-0.5000145,-0.5000375,-0.5000295,-0.500001,-0.5000005,-0.500001,-0.0039225,-0.5000005,-0.004486,-0.5000075,-0.4465415,-0.500009,-0.5000045,-0.0029655,-0.5000055,-0.001217,-0.500001,-0.0001265,-0.519656,-0.5000145,-0.500001,-0.001849,-0.5000015,-0.5000055,-0.001528,-0.5000015,-0.500015,-0.0001685,-0.5000015,-0.5000005,-0.001587,-0.5000025,-0.500002,-0.5000295,-0.5000005,-0.500002,-0.500001,-0.5000015,-0.500005,-0.5000185,-0.5000305,-0.500001,-0.014188,-0.001359,-0.4759435,-0.500006,-0.500015,-0.5001585,-0.000339,-0.500002,-0.500003,-0.500002,-0.5000025,-0.500002,-0.4254175,-0.500001,-0.500003,-0.0040895,-0.001128,-0.500004,-0.5000165,-0.5,-0.0005375,-0.50001,-0.0013005,-0.5000295,-0.5000165,-0.428084,-0.500013,-0.49951,-0.50001,-0.0002025,-0.002024,-0.5000015,-0.5000205,-0.500078,-0.00116,-0.0020125,-0.500009,-0.5000015,-0.500002,-40.75,2
5,-0.000463,-0.5000085,-0.5000145,-0.000243,-0.497352,-0.500001,-0.5000005,-0.500001,-0.0016075,-0.5000005,-0.0003595,-0.5000075,-0.526964,-0.500009,-0.5000045,-0.500002,-0.5000055,-0.001217,-0.500001,-0.497804,-0.002532,-0.497948,-0.500001,-0.0015045,-0.5000015,-0.5000055,-0.5002025,-0.5000015,-0.49888,-0.497562,-0.5000015,-0.5000005,-0.000959,-0.5000025,-0.500002,-0.4974515,-0.5000005,-0.500002,-0.500001,-0.5000015,-0.500005,-0.0004145,-0.4975795,-0.500001,-0.003992,-0.0014745,-0.002317,-0.500006,-0.000464,-0.0029875,-0.000732,-0.500002,-0.500003,-0.500002,-0.499235,-0.500002,-0.0071715,-0.500001,-0.500003,-0.005693,-0.000982,-0.500004,-0.000203,-0.5,-0.0005375,-0.50001,-0.483489,-0.0006195,-0.5000165,-0.005105,-0.500013,-0.500001,-0.50001,-0.495816,-0.0022785,-0.5000015,-0.4988365,-0.001123,-0.0009475,-0.000531,-0.500009,-0.5000015,-0.500002,-28.25,3
6,-0.5007345,-0.5000085,-0.5000145,-0.5000375,-0.5000295,-0.500001,-0.5000005,-0.500001,-0.0022865,-0.5000005,-0.5000815,-0.5000075,-0.0029765,-0.500009,-0.5000045,-0.500002,-0.5000055,-0.5008275,-0.500001,-0.500012,-0.519656,-0.497948,-0.500001,-0.0008565,-0.5000015,-0.0037515,-0.5002025,-0.5000015,-0.500015,-0.500012,-0.5000015,-0.5000005,-0.002206,-0.5000025,-0.500002,-0.5000295,-0.5000005,-0.500002,-0.500001,-0.5000015,-0.500005,-0.5000185,-0.5000305,-0.500001,-0.6158395,-0.500657,-0.0014555,-0.500006,-0.500015,-0.4923595,-0.4968825,-0.500002,-0.500003,-0.500002,-0.5000025,-0.500002,-0.4254175,-0.500001,-0.500003,-0.0040895,-0.0021945,-0.500004,-0.5000165,-0.5,-0.5013515,-0.50001,-0.483489,-0.5000295,-0.5000165,-0.0068655,-0.500013,-0.500001,-0.50001,-0.495816,-0.0019605,-0.5000015,-0.5000205,-0.500078,-0.00202,-0.500209,-0.500009,-0.5000015,-0.500002,-28.25,2
7,-0.0020675,-0.000141,-0.000105,-0.000281,-0.0003915,-0.5,-0.5000005,-0.500001,-0.479652,-0.5000005,-0.0004905,-7.50E-05,-0.00372,-0.000142,-0.49897,-0.000935,-0.5000055,-0.002433,-0.500001,-0.0001685,-0.005971,-0.0001735,-6.15E-05,-0.0015045,-4.20E-05,-6.90E-05,-0.0010215,-0.5000015,-0.000291,-0.0001595,-0.5000015,-9.60E-05,-0.486998,-1.55E-05,-2.45E-05,-0.000354,-0.5000005,-4.40E-05,-8.00E-05,-5.70E-05,-0.0001175,-0.0015165,-0.000288,-0.500001,-0.3363195,-0.001359,-0.002446,-0.500006,-0.000464,-0.000543,-0.0002705,-4.40E-05,-0.500003,-6.05E-05,-8.10E-05,-4.40E-05,-0.004543,-0.500001,-3.10E-05,-0.0017625,-0.4875415,-5.20E-05,-0.00019,-0.5,-0.002213,-0.0001035,-0.0013035,-0.0001745,-0.000171,-0.005105,-0.0001175,-0.500001,-6.80E-05,-0.0001595,-0.0012495,-2.60E-05,-0.4988365,-0.0003105,-0.0019735,-0.000531,-0.000121,-0.5000015,-0.500002,-1781,2
8,-0.0020675,-0.4982455,-8.00E-05,-0.000243,-0.000275,-0.500001,-0.5000005,-0.500001,-0.0022865,-0.5000005,-0.0008805,-0.5000075,-0.0029765,-0.0001,-0.000108,-0.001517,-0.5000055,-0.001217,-0.500001,-0.000732,-0.00365,-0.000224,-0.0003805,-0.0008015,-0.499493,-0.5000055,-0.0012055,-0.5000015,-8.75E-05,-0.497562,-0.5000015,-0.5000005,-0.000959,-0.5000025,-0.500002,-0.000278,-0.5000005,-0.500002,-0.49766,-0.5000015,-0.500005,-0.000504,-0.4975795,-0.500001,-0.0042265,-0.0014745,-0.001955,-0.500006,-0.500015,-0.000543,-0.0002705,-0.000119,-0.500003,-0.000623,-0.000287,-0.500002,-0.0033635,-0.500001,-0.500003,-0.001656,-0.0011035,-0.500004,-0.498495,-0.5,-0.001208,-0.50001,-0.001181,-0.0006195,-0.000667,-0.005105,-8.60E-05,-0.500001,-0.0005975,-0.0004615,-0.0066835,-0.0001325,-0.0003755,-0.000338,-0.0006895,-0.000399,-0.0001045,-0.5000015,-0.500002,-106.75,3
9,-0.000779,-0.00018,-9.10E-05,-0.000281,-0.0006915,-1.15E-05,-0.5,-0.500001,-0.0016615,-0.0001415,-0.000491,-4.30E-05,-0.0035295,-9.95E-05,-0.0001195,-0.0001525,-0.5000055,-0.0008915,-0.500001,-0.0001265,-0.002492,-0.000193,-3.65E-05,-0.0008645,-4.20E-05,-0.0007925,-0.000597,-0.5000015,-6.85E-05,-0.0001685,-1.55E-05,-0.5000005,-0.0007895,-3.30E-05,-0.500002,-0.4974515,-0.5000005,-4.40E-05,-5.65E-05,-5.70E-05,-0.000115,-0.0004155,-0.0002675,-0.500001,-0.002473,-0.0007475,-0.004016,-7.50E-06,-0.000113,-0.000632,-0.0003145,-4.40E-05,-3.00E-06,-6.85E-05,-5.05E-05,-4.40E-05,-0.005297,-0.500001,-3.10E-05,-0.001361,-0.0006415,-7.45E-05,-0.000106,-0.5,-0.0009105,-8.05E-05,-0.0033725,-0.000136,-6.85E-05,-0.007156,-0.0001345,-4.50E-05,-8.45E-05,-0.0001595,-0.0012495,-2.60E-05,-8.00E-05,-0.001459,-0.0008265,-0.000399,-6.15E-05,-0.5000015,-0.500002,-10421.5,3
10,-0.0012585,-0.0001375,-8.00E-05,-0.000243,-0.0002575,-0.5,-2.00E-06,-0.500001,-0.0032065,-2.05E-05,-0.0004235,-4.30E-05,-0.00242,-0.0001565,-0.49897,-0.0001915,-0.5000055,-0.001217,-1.25E-05,-0.0001685,-0.002492,-0.0002785,-0.4992395,-0.0008645,-3.30E-05,-0.0007925,-0.0011635,-0.5000015,-0.0001435,-0.0001595,-3.85E-05,-6.50E-06,-0.0014225,-1.90E-05,-2.55E-05,-0.000202,-0.5000005,-3.40E-05,-0.0001345,-3.05E-05,-9.15E-05,-0.0004145,-0.000288,-0.000107,-0.005428,-0.0014745,-0.004016,-0.500006,-0.000195,-0.0011515,-0.0003145,-4.40E-05,-0.500003,-0.000623,-3.75E-05,-4.30E-05,-0.519221,-1.30E-05,-5.50E-05,-0.0040895,-0.00115,-5.05E-05,-0.498495,-0.5,-0.4894765,-7.80E-05,-0.0010665,-0.0001745,-0.4985245,-0.428084,-0.000141,-1.20E-05,-0.0001215,-0.0001595,-0.002024,-3.15E-05,-0.0003755,-0.000411,-0.001358,-0.4941465,-0.0001715,-4.30E-05,-1.50E-05,-10421.5,3
