Overlap,25,25,25,25,50,50,50,50,75,75,75,75,100,100,100,100
Method,ALVES,OLIVE,SHATW,XTREE,ALVES,OLIVE,SHATW,XTREE,ALVES,OLIVE,SHATW,XTREE,ALVES,OLIVE,SHATW,XTREE
ant v1,15,15,15,3,0,0,0,11,0,0,0,1,0,0,0,2
ant v3,60,58,63,9,3,4,0,33,0,0,0,11,0,0,0,20
ant v2,15,15,15,1,0,0,0,10,0,0,0,2,0,0,0,4
ant v4,65,63,69,23,6,7,0,38,0,0,0,14,0,0,0,10
ivy v2,6,6,6,1,0,0,0,3,0,0,0,2,0,0,0,0
ivy v1,3,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0
camel v1,68,68,71,5,3,1,0,25,1,1,0,14,0,0,0,31
camel v2,30,28,36,2,5,5,1,15,1,2,0,9,0,1,0,15
camel v3,100,97,112,2,10,10,2,28,3,3,0,19,0,4,0,74
xerces v2,49,48,52,0,2,2,0,11,1,1,0,12,0,0,0,34
xerces v3,163,162,169,5,5,4,0,16,1,2,0,9,0,1,0,145
xerces v1,4,4,5,0,0,0,0,1,0,0,0,1,0,0,0,1
velocity v1,26,24,40,4,8,6,3,14,6,7,0,17,0,4,0,10
velocity v2,15,14,21,0,2,2,4,4,1,1,0,5,3,4,0,14
xalan v1,257,256,266,3,8,3,3,29,2,5,0,31,0,2,0,217
xalan v2,145,145,171,3,17,9,7,48,14,7,0,32,0,12,0,101
xalan v3,460,454,506,0,27,4,6,37,33,33,0,108,1,16,0,394
poi v2,186,187,196,0,4,2,1,7,6,1,0,5,0,6,0,184
poi v3,78,77,88,5,9,9,1,23,2,3,0,11,0,0,0,58
poi v1,7,7,7,1,0,0,0,1,0,0,0,0,0,0,0,6
log4j v2,67,65,74,2,4,4,1,14,3,3,0,13,0,2,0,46
log4j v1,13,15,16,2,2,1,0,7,0,0,0,2,0,0,0,7
jedit v3,14,13,15,2,1,1,0,9,0,0,0,2,0,0,0,4
jedit v2,38,32,40,5,2,6,0,19,1,1,0,11,0,1,0,12
jedit v1,20,19,22,2,2,2,0,10,0,0,0,6,0,0,0,6
jedit v4,3,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0
