Overlap,25,25,25,25,50,50,50,50,75,75,75,75,100,100,100,100
Method,ALVES,OLIVE,SHATW,XTREE,ALVES,OLIVE,SHATW,XTREE,ALVES,OLIVE,SHATW,XTREE,ALVES,OLIVE,SHATW,XTREE
ant v1,15,15,15,1,0,0,0,10,0,0,0,2,0,0,0,4
ant v2,59,58,63,9,4,4,0,33,0,0,0,11,0,0,0,20
ant v3,66,64,69,22,4,7,0,38,0,0,0,15,0,0,0,10
camel v1,29,28,36,10,5,5,0,11,2,2,0,6,0,0,0,14
camel v2,102,97,112,5,10,9,0,26,4,3,0,17,0,4,0,74
ivy v1,6,6,6,1,0,0,0,3,0,0,0,2,0,0,0,0
jedit v1,37,33,37,3,3,5,2,20,1,1,0,11,0,1,0,12
jedit v2,14,12,15,2,1,2,0,8,0,0,0,2,0,0,0,4
jedit v3,3,2,3,1,0,0,0,1,0,0,0,1,0,0,0,0
log4j v1,68,66,73,1,3,4,1,14,3,2,0,13,0,2,0,47
lucene v1,75,72,85,3,17,10,10,30,7,5,0,11,0,9,0,54
poi v1,189,186,190,1,3,2,6,7,5,1,0,5,0,6,0,182
poi v2,84,78,87,4,8,9,2,23,0,2,0,11,0,0,0,58
velocity v1,15,13,21,1,1,2,4,3,4,1,0,3,1,4,0,14
xalan v1,144,142,152,2,15,9,21,46,13,8,6,33,4,13,0,101
xalan v2,460,452,506,27,26,5,0,25,35,33,0,87,0,18,0,388
xerces v1,49,47,52,0,1,2,0,10,1,1,0,11,0,0,0,34
xerces v2,163,161,169,4,6,5,0,14,1,2,0,9,0,1,0,146
