Overlap,25,25,25,25,50,50,50,50,75,75,75,75,100,100,100,100
Method,ALVES,OLIVE,SHATW,BELLTREE,ALVES,OLIVE,SHATW,BELLTREE,ALVES,OLIVE,SHATW,BELLTREE,ALVES,OLIVE,SHATW,BELLTREE
ant v1,5,1,10,12,3,6,0,19,0,0,0,10,0,0,0,54
ant v2,2,2,14,13,8,6,0,33,5,3,0,27,0,4,0,61
ant v3,3,1,9,6,6,4,0,42,0,2,0,27,0,0,0,124
camel v1,0,0,1,10,0,0,0,30,1,0,0,20,0,0,0,98
camel v2,14,9,84,30,27,28,0,100,34,10,0,68,10,38,0,277
camel v3,4,3,49,24,20,17,0,113,24,9,0,76,0,18,0,443
ivy v1,4,3,26,12,17,17,0,42,6,4,0,13,0,2,0,25
jedit v1,11,5,35,11,17,15,0,44,5,11,0,50,0,6,0,108
jedit v2,8,4,23,10,7,7,0,34,6,6,0,39,0,4,0,135
jedit v3,14,8,30,28,10,14,0,75,4,3,0,35,0,2,0,106
log4j v1,2,0,10,0,7,6,0,14,3,3,0,8,0,2,0,50
poi v1,2,3,61,7,46,38,0,80,11,9,0,19,1,12,0,90
poi v2,0,0,7,0,0,0,0,0,6,0,0,2,1,6,0,83
velocity v1,2,3,49,6,11,7,0,15,26,11,0,32,9,28,0,48
xalan v1,6,2,33,2,21,13,0,51,5,14,0,66,0,5,0,230
xalan v2,7,2,150,6,39,16,0,49,80,22,0,54,11,97,0,408
xerces v1,4,3,28,11,6,4,0,13,7,7,0,24,9,14,0,49
xerces v2,1,1,25,2,5,3,0,11,7,4,0,18,11,16,0,305
