$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$InterDependency,$Dynamism,$Size,$Plan,$TeamSize,-cost
0.78,1.11,5.36,0.48,51.62,20.84,3.14,1.52,21.49,1070.7708029278292
0.57,1.17,6.04,0.48,75.82,31.3,1.0,4.55,43.26,975.6034573031205
0.75,1.16,4.48,0.62,89.98,34.52,1.89,0.5,19.67,679.2614953447703
0.59,1.17,9.73,0.54,86.67,13.76,3.22,2.74,1.6,1862.0616857680088
0.68,0.97,8.6,0.6,1.11,25.19,3.47,1.22,14.98,1228.0153821599376
0.8,0.89,6.54,0.47,96.79,40.36,1.79,0.4,14.76,456.15507189390286
0.51,1.17,2.87,0.57,70.95,27.82,3.26,2.7,42.45,696.2073167705282
0.58,1.04,5.56,0.58,39.11,29.21,1.16,0.95,9.03,735.2075830461267
0.59,1.07,5.81,0.43,76.0,43.96,3.69,4.21,39.62,1179.6171960018626
0.84,1.03,5.13,0.61,28.29,40.77,3.4,4.48,26.36,951.5913332684187
0.86,1.04,5.6,0.6,99.63,45.93,3.17,0.41,27.35,1183.2167897980896
0.49,1.06,8.76,0.47,73.42,6.74,0.88,3.97,15.3,435.7367583651567
0.75,0.86,3.17,0.61,5.48,29.12,3.64,2.67,30.27,505.902978199042
0.12,1.06,6.85,0.57,39.73,19.14,3.92,0.18,1.93,919.5536088916141
0.87,0.89,2.99,0.46,80.27,46.91,0.09,2.13,5.36,158.1912361307721
0.31,0.9,7.18,0.51,18.85,25.68,0.16,0.5,43.49,411.1109484250037
0.26,0.96,7.85,0.65,91.93,9.3,2.69,4.83,3.5,734.6338822207537
0.64,1.14,4.74,0.48,60.08,22.67,0.7,2.36,18.63,405.8835858096633
0.56,1.01,4.49,0.51,83.93,13.3,2.24,0.06,32.89,622.3284198306442
0.37,0.84,4.25,0.47,95.36,18.26,1.15,1.8,41.72,391.53794140268855
0.61,1.06,7.72,0.52,42.03,32.89,0.01,0.96,15.38,351.629226672602
0.29,1.06,5.03,0.66,57.25,21.31,1.61,3.51,18.98,667.1766234588974
