Overlap,Num,Method
25,17,XTREE
25,247,ALVES
25,260,SHATW
25,231,OLIVE
50,59,XTREE
50,11,ALVES
50,4,SHATW
50,20,OLIVE
75,54,XTREE
75,9,ALVES
75,0,SHATW
75,9,OLIVE
100,153,XTREE
100,1,ALVES
100,0,SHATW
100,6,OLIVE
25,16,XTREE
25,244,ALVES
25,260,SHATW
25,238,OLIVE
50,58,XTREE
50,14,ALVES
50,3,SHATW
50,11,OLIVE
75,53,XTREE
75,5,ALVES
75,0,SHATW
75,6,OLIVE
100,153,XTREE
100,0,ALVES
100,0,SHATW
100,9,OLIVE
25,15,XTREE
25,248,ALVES
25,260,SHATW
25,237,OLIVE
50,56,XTREE
50,9,ALVES
50,4,SHATW
50,18,OLIVE
75,59,XTREE
75,6,ALVES
75,0,SHATW
75,7,OLIVE
100,153,XTREE
100,1,ALVES
100,0,SHATW
100,4,OLIVE
25,13,XTREE
25,243,ALVES
25,260,SHATW
25,233,OLIVE
50,59,XTREE
50,20,ALVES
50,4,SHATW
50,20,OLIVE
75,56,XTREE
75,7,ALVES
75,0,SHATW
75,6,OLIVE
100,154,XTREE
100,1,ALVES
100,0,SHATW
100,5,OLIVE
25,17,XTREE
25,241,ALVES
25,260,SHATW
25,234,OLIVE
50,59,XTREE
50,14,ALVES
50,1,SHATW
50,16,OLIVE
75,55,XTREE
75,10,ALVES
75,0,SHATW
75,8,OLIVE
100,152,XTREE
100,1,ALVES
100,0,SHATW
100,8,OLIVE
25,14,XTREE
25,246,ALVES
25,260,SHATW
25,236,OLIVE
50,59,XTREE
50,13,ALVES
50,3,SHATW
50,13,OLIVE
75,58,XTREE
75,7,ALVES
75,0,SHATW
75,11,OLIVE
100,151,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,16,XTREE
25,247,ALVES
25,260,SHATW
25,235,OLIVE
50,56,XTREE
50,14,ALVES
50,4,SHATW
50,11,OLIVE
75,55,XTREE
75,8,ALVES
75,0,SHATW
75,11,OLIVE
100,153,XTREE
100,0,ALVES
100,0,SHATW
100,8,OLIVE
25,19,XTREE
25,243,ALVES
25,260,SHATW
25,239,OLIVE
50,58,XTREE
50,16,ALVES
50,5,SHATW
50,17,OLIVE
75,54,XTREE
75,8,ALVES
75,0,SHATW
75,6,OLIVE
100,151,XTREE
100,1,ALVES
100,0,SHATW
100,4,OLIVE
25,19,XTREE
25,245,ALVES
25,260,SHATW
25,240,OLIVE
50,62,XTREE
50,13,ALVES
50,6,SHATW
50,12,OLIVE
75,57,XTREE
75,8,ALVES
75,0,SHATW
75,6,OLIVE
100,150,XTREE
100,2,ALVES
100,0,SHATW
100,5,OLIVE
25,13,XTREE
25,242,ALVES
25,260,SHATW
25,233,OLIVE
50,58,XTREE
50,12,ALVES
50,2,SHATW
50,16,OLIVE
75,56,XTREE
75,10,ALVES
75,0,SHATW
75,6,OLIVE
100,153,XTREE
100,1,ALVES
100,0,SHATW
100,10,OLIVE
