Name, Overlap<50 | Bugs Reduced, Overlap > 50 | Bugs Reduced, Overlap<50 | Bugs Increased , Overlap>50 | Bugs Increased, No Overlap | Bugs Increased, No Overlap | Bugs Decreased
ant_2,13,2,272,4,260,0
ant_3,32,12,294,8,259,0
lucene_1,24,40,120,39,93,0
jedit_1,20,22,241,7,218,0
jedit_2,46,14,227,1,213,0
jedit_3,37,7,179,0,177,0
xerces_1,6,42,369,12,365,0
xerces_2,0,12,299,16,291,0
camel_1,65,88,379,31,359,0
camel_2,31,49,734,31,713,0
velocity_1,24,79,77,22,71,0
xalan_1,24,160,412,155,381,0
xalan_2,17,65,478,288,463,0
poi_2,106,52,167,38,135,0
poi_1,0,10,280,23,277,0
log4j_1,4,4,77,17,68,0
ivy_1,0,0,0,0,0,0
