Overlap,Num,Method
25,25,XTREE
25,12,ALVES
25,37,SHATW
25,2,OLIVE
50,115,XTREE
50,17,ALVES
50,0,SHATW
50,17,OLIVE
75,74,XTREE
75,22,ALVES
75,0,SHATW
75,15,OLIVE
100,444,XTREE
100,0,ALVES
100,0,SHATW
100,19,OLIVE
25,25,XTREE
25,10,ALVES
25,44,SHATW
25,4,OLIVE
50,116,XTREE
50,20,ALVES
50,0,SHATW
50,16,OLIVE
75,69,XTREE
75,22,ALVES
75,0,SHATW
75,10,OLIVE
100,448,XTREE
100,0,ALVES
100,0,SHATW
100,19,OLIVE
25,25,XTREE
25,8,ALVES
25,33,SHATW
25,3,OLIVE
50,114,XTREE
50,21,ALVES
50,0,SHATW
50,15,OLIVE
75,80,XTREE
75,18,ALVES
75,0,SHATW
75,11,OLIVE
100,439,XTREE
100,0,ALVES
100,0,SHATW
100,18,OLIVE
25,25,XTREE
25,4,ALVES
25,43,SHATW
25,5,OLIVE
50,120,XTREE
50,19,ALVES
50,0,SHATW
50,16,OLIVE
75,66,XTREE
75,20,ALVES
75,0,SHATW
75,11,OLIVE
100,447,XTREE
100,0,ALVES
100,0,SHATW
100,17,OLIVE
25,24,XTREE
25,10,ALVES
25,32,SHATW
25,3,OLIVE
50,103,XTREE
50,18,ALVES
50,0,SHATW
50,18,OLIVE
75,59,XTREE
75,18,ALVES
75,0,SHATW
75,10,OLIVE
100,423,XTREE
100,0,ALVES
100,0,SHATW
100,23,OLIVE
25,25,XTREE
25,11,ALVES
25,39,SHATW
25,3,OLIVE
50,111,XTREE
50,23,ALVES
50,0,SHATW
50,19,OLIVE
75,72,XTREE
75,21,ALVES
75,0,SHATW
75,8,OLIVE
100,450,XTREE
100,0,ALVES
100,0,SHATW
100,16,OLIVE
25,25,XTREE
25,14,ALVES
25,32,SHATW
25,3,OLIVE
50,115,XTREE
50,15,ALVES
50,0,SHATW
50,13,OLIVE
75,72,XTREE
75,20,ALVES
75,0,SHATW
75,13,OLIVE
100,446,XTREE
100,0,ALVES
100,0,SHATW
100,16,OLIVE
25,24,XTREE
25,10,ALVES
25,35,SHATW
25,4,OLIVE
50,103,XTREE
50,23,ALVES
50,0,SHATW
50,14,OLIVE
75,59,XTREE
75,19,ALVES
