$time_passes,$gvn,$instcombine,$inline,$jump_threading,$simplifycfg,$sccp,$print_used_types,$ipsccp,$iv_users,$licm,$<Performance
1,1,0,1,0,1,0,0,0,0,1,252.21
1,0,1,0,0,1,1,1,1,1,1,236.53
1,0,1,0,0,0,0,1,0,1,1,233.66
1,1,0,0,0,0,0,0,0,1,0,219.15
1,1,0,1,1,0,0,0,0,1,1,245.21
1,0,1,1,0,0,1,0,0,0,1,250.16
1,1,0,0,1,1,1,1,0,0,1,256.23
1,0,0,1,1,1,1,1,0,1,1,263.19
1,0,0,0,0,1,1,0,1,0,1,214.28
1,1,0,1,0,1,1,0,1,1,1,249.30
1,1,1,1,0,0,1,1,0,0,1,268.58
1,0,1,0,0,0,1,1,1,1,1,232.47
1,1,1,1,1,0,1,1,1,1,1,267.32
1,0,0,1,0,0,1,1,1,1,1,244.12
1,0,0,0,0,0,0,1,0,0,1,216.64
1,0,1,0,1,0,0,0,0,1,0,217.93
1,1,1,1,1,1,1,1,0,1,1,262.11
1,1,1,0,0,1,1,1,1,0,1,253.57
1,1,0,0,1,0,1,0,1,1,0,226.13
1,1,1,0,1,1,1,1,1,0,0,243.44
1,0,0,1,1,0,1,0,1,1,1,259.50
1,1,0,0,1,0,1,0,1,0,0,226.70
1,0,1,0,0,0,1,0,1,1,1,233.45
1,1,0,1,0,1,0,1,0,0,0,242.55
1,0,1,0,1,1,0,0,0,1,0,218.12
1,1,0,0,1,1,0,0,0,1,0,223.13
1,1,0,0,0,1,1,1,1,0,1,234.95
1,0,1,1,0,0,1,1,0,1,0,227.19
1,1,0,0,1,0,1,1,1,0,1,235.23
1,0,0,1,0,0,0,1,0,0,0,213.18
1,0,0,0,1,0,1,0,1,0,0,201.55
1,1,1,0,0,0,1,1,0,1,1,248.34
1,1,1,0,1,0,1,1,1,0,0,241.33
1,0,1,1,0,0,1,1,1,1,0,227.15
1,0,0,0,1,1,1,0,0,1,0,206.12
1,1,1,0,0,1,1,1,1,1,0,244.23
1,0,0,1,1,0,1,1,0,0,1,259.37
1,1,0,1,0,0,1,0,1,0,0,238.25
1,1,0,1,1,0,1,1,1,1,1,251.25
1,1,1,1,0,1,1,0,1,0,1,264.47
1,0,0,1,1,0,1,0,0,1,0,215.31
1,0,0,0,0,1,1,0,0,0,1,217.68
1,0,1,0,0,0,1,1,1,0,0,221.10
1,0,0,1,1,0,1,1,1,0,0,214.31
1,1,1,0,0,0,0,1,0,1,1,249.50
1,0,1,1,0,1,1,1,0,0,0,229.12
1,1,0,0,0,0,1,0,1,1,1,235.12
1,0,1,0,0,1,1,0,1,1,0,221.73
1,1,1,1,0,0,0,1,0,1,1,261.44
1,1,1,1,1,1,0,1,0,1,1,260.69
1,1,1,0,1,1,0,0,0,1,0,239.56
1,1,0,0,0,1,1,0,0,1,0,227.18
1,1,1,1,1,1,1,1,1,0,1,252.45
1,0,0,0,1,1,1,1,1,1,0,207.65
1,1,0,0,1,1,0,1,0,0,0,227.94
1,0,0,0,1,1,1,1,0,1,1,216.91
1,1,0,0,0,0,1,0,0,1,0,221.25
1,0,1,0,0,0,0,0,0,1,0,216.40
1,1,0,0,1,0,0,1,0,0,1,237.33
1,1,1,0,1,1,1,0,1,0,1,252.28
1,1,0,0,0,0,1,0,0,0,1,237.13
1,1,0,0,0,0,1,1,1,1,1,237.90
1,1,0,1,0,1,1,0,0,0,0,240.23
1,0,1,0,1,0,1,0,0,1,0,218.73
1,1,0,1,1,1,1,1,0,1,1,248.74
1,0,0,1,0,1,1,1,1,1,0,218.32
1,1,1,1,0,1,1,0,0,1,1,264.16
1,0,1,0,1,0,1,0,1,1,0,222.37
1,0,1,0,1,0,0,1,0,0,1,234.38
1,1,1,0,0,0,0,1,0,0,0,242.92
1,1,0,1,1,0,1,0,0,0,0,240.83
1,0,0,1,1,1,1,1,0,0,0,214.48
1,1,1,0,0,0,1,0,1,0,1,249.99
1,0,0,0,0,0,1,0,1,0,0,201.15
1,0,0,1,1,0,1,1,0,1,0,212.45
1,0,1,0,0,0,1,0,1,0,0,218.82
1,1,0,1,0,0,1,1,1,1,0,240.99
1,0,1,1,1,0,1,0,1,1,1,248.42
1,1,1,1,1,1,1,0,0,0,1,252.68
1,1,1,1,1,1,1,1,0,0,0,241.69
1,0,1,1,1,0,1,0,1,0,0,227.73
1,0,0,0,1,1,0,1,0,1,0,201.97
1,0,1,0,0,1,0,1,0,1,1,231.63
1,0,0,1,0,1,0,1,0,0,1,263.58
1,0,0,0,0,1,1,1,1,0,1,217.73
1,0,0,0,1,0,1,0,1,0,0,203.56
1,1,1,0,1,1,0,0,0,0,1,254.73
1,1,0,0,1,1,1,1,1,0,0,227.12
1,0,0,0,1,0,1,1,0,0,1,219.83
1,0,1,1,0,0,1,0,1,1,1,251.24
1,0,1,1,1,0,0,0,0,1,1,245.79
1,1,1,1,0,1,1,1,1,1,1,268.42
