Overlap,Num,Method
25,7,XTREE
25,3,ALVES
25,78,SHATW
25,4,OLIVE
50,63,XTREE
50,47,ALVES
50,0,SHATW
50,35,OLIVE
75,39,XTREE
75,9,ALVES
75,0,SHATW
75,8,OLIVE
100,88,XTREE
100,1,ALVES
100,0,SHATW
100,11,OLIVE
25,7,XTREE
25,1,ALVES
25,64,SHATW
25,4,OLIVE
50,76,XTREE
50,44,ALVES
50,0,SHATW
50,32,OLIVE
75,21,XTREE
75,13,ALVES
75,0,SHATW
75,8,OLIVE
100,93,XTREE
100,1,ALVES
100,0,SHATW
100,11,OLIVE
25,8,XTREE
25,2,ALVES
25,63,SHATW
25,3,OLIVE
50,79,XTREE
50,52,ALVES
50,0,SHATW
50,33,OLIVE
75,17,XTREE
75,14,ALVES
75,0,SHATW
75,12,OLIVE
100,93,XTREE
100,2,ALVES
100,0,SHATW
100,11,OLIVE
25,7,XTREE
25,3,ALVES
25,67,SHATW
25,2,OLIVE
50,83,XTREE
50,49,ALVES
50,0,SHATW
50,46,OLIVE
75,16,XTREE
75,14,ALVES
75,0,SHATW
75,10,OLIVE
100,91,XTREE
100,2,ALVES
100,0,SHATW
100,14,OLIVE
25,7,XTREE
25,4,ALVES
25,45,SHATW
25,5,OLIVE
50,84,XTREE
50,45,ALVES
50,0,SHATW
50,46,OLIVE
75,12,XTREE
75,8,ALVES
75,0,SHATW
75,10,OLIVE
100,94,XTREE
100,1,ALVES
100,0,SHATW
100,11,OLIVE
25,7,XTREE
25,3,ALVES
25,63,SHATW
25,5,OLIVE
50,84,XTREE
50,35,ALVES
50,0,SHATW
50,35,OLIVE
75,19,XTREE
75,12,ALVES
75,0,SHATW
75,10,OLIVE
100,87,XTREE
100,0,ALVES
100,0,SHATW
100,10,OLIVE
25,7,XTREE
25,1,ALVES
25,60,SHATW
25,2,OLIVE
50,84,XTREE
50,40,ALVES
50,0,SHATW
50,41,OLIVE
75,19,XTREE
75,11,ALVES
75,0,SHATW
75,12,OLIVE
100,87,XTREE
100,1,ALVES
100,0,SHATW
100,9,OLIVE
25,7,XTREE
25,2,ALVES
25,55,SHATW
25,2,OLIVE
50,82,XTREE
50,50,ALVES
50,0,SHATW
50,44,OLIVE
75,21,XTREE
75,8,ALVES
75,0,SHATW
75,6,OLIVE
100,87,XTREE
100,1,ALVES
100,0,SHATW
100,16,OLIVE
25,7,XTREE
25,2,ALVES
25,56,SHATW
25,3,OLIVE
50,88,XTREE
50,49,ALVES
50,0,SHATW
50,36,OLIVE
75,13,XTREE
75,12,ALVES
75,0,SHATW
75,7,OLIVE
100,89,XTREE
100,1,ALVES
100,0,SHATW
100,14,OLIVE
25,7,XTREE
25,1,ALVES
25,60,SHATW
25,3,OLIVE
50,78,XTREE
50,58,ALVES
50,0,SHATW
50,36,OLIVE
75,21,XTREE
75,9,ALVES
75,0,SHATW
75,7,OLIVE
100,91,XTREE
100,2,ALVES
100,0,SHATW
100,13,OLIVE
