Overlap,Num,Method
25,4,XTREE
25,24,ALVES
25,40,SHATW
25,26,OLIVE
50,11,XTREE
50,11,ALVES
50,5,SHATW
50,5,OLIVE
75,19,XTREE
75,7,ALVES
75,0,SHATW
75,7,OLIVE
100,13,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
25,5,XTREE
25,29,ALVES
25,40,SHATW
25,25,OLIVE
50,15,XTREE
50,5,ALVES
50,3,SHATW
50,4,OLIVE
75,16,XTREE
75,5,ALVES
75,0,SHATW
75,7,OLIVE
100,10,XTREE
100,1,ALVES
100,0,SHATW
100,6,OLIVE
25,4,XTREE
25,29,ALVES
25,40,SHATW
25,21,OLIVE
50,13,XTREE
50,7,ALVES
50,1,SHATW
50,7,OLIVE
75,19,XTREE
75,6,ALVES
75,0,SHATW
75,8,OLIVE
100,11,XTREE
100,1,ALVES
100,0,SHATW
100,5,OLIVE
25,4,XTREE
25,25,ALVES
25,40,SHATW
25,27,OLIVE
50,13,XTREE
50,10,ALVES
50,6,SHATW
50,6,OLIVE
75,17,XTREE
75,7,ALVES
75,0,SHATW
75,7,OLIVE
100,11,XTREE
100,1,ALVES
100,0,SHATW
100,3,OLIVE
25,4,XTREE
25,33,ALVES
25,40,SHATW
25,25,OLIVE
50,15,XTREE
50,6,ALVES
50,4,SHATW
50,6,OLIVE
75,15,XTREE
75,2,ALVES
75,0,SHATW
75,6,OLIVE
100,11,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
25,4,XTREE
25,26,ALVES
25,40,SHATW
25,25,OLIVE
50,14,XTREE
50,10,ALVES
50,5,SHATW
50,6,OLIVE
75,19,XTREE
75,6,ALVES
75,0,SHATW
75,8,OLIVE
100,9,XTREE
100,2,ALVES
100,0,SHATW
100,4,OLIVE
25,5,XTREE
25,27,ALVES
25,40,SHATW
25,23,OLIVE
50,15,XTREE
50,5,ALVES
50,5,SHATW
50,6,OLIVE
75,17,XTREE
75,10,ALVES
75,0,SHATW
75,8,OLIVE
100,9,XTREE
100,1,ALVES
100,0,SHATW
100,6,OLIVE
25,4,XTREE
25,22,ALVES
25,40,SHATW
25,21,OLIVE
50,15,XTREE
50,15,ALVES
50,1,SHATW
50,8,OLIVE
75,15,XTREE
75,6,ALVES
75,0,SHATW
75,8,OLIVE
100,10,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,4,XTREE
25,28,ALVES
25,40,SHATW
25,23,OLIVE
50,14,XTREE
50,9,ALVES
50,0,SHATW
50,6,OLIVE
75,19,XTREE
75,5,ALVES
75,0,SHATW
75,9,OLIVE
100,11,XTREE
100,0,ALVES
100,0,SHATW
100,6,OLIVE
25,4,XTREE
25,26,ALVES
25,40,SHATW
25,28,OLIVE
50,15,XTREE
50,9,ALVES
50,4,SHATW
50,8,OLIVE
75,18,XTREE
75,9,ALVES
75,0,SHATW
75,5,OLIVE
100,9,XTREE
100,1,ALVES
100,0,SHATW
100,3,OLIVE
