Overlap,Num,Method
25,2,XTREE
25,77,ALVES
25,90,SHATW
25,77,OLIVE
50,22,XTREE
50,13,ALVES
50,1,SHATW
50,8,OLIVE
75,12,XTREE
75,3,ALVES
75,0,SHATW
75,3,OLIVE
100,59,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,3,XTREE
25,77,ALVES
25,90,SHATW
25,80,OLIVE
50,22,XTREE
50,13,ALVES
50,1,SHATW
50,7,OLIVE
75,13,XTREE
75,4,ALVES
75,0,SHATW
75,1,OLIVE
100,58,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,2,XTREE
25,74,ALVES
25,90,SHATW
25,75,OLIVE
50,21,XTREE
50,15,ALVES
50,1,SHATW
50,8,OLIVE
75,13,XTREE
75,5,ALVES
75,0,SHATW
75,5,OLIVE
100,59,XTREE
100,1,ALVES
100,0,SHATW
100,3,OLIVE
25,2,XTREE
25,74,ALVES
25,90,SHATW
25,73,OLIVE
50,25,XTREE
50,13,ALVES
50,0,SHATW
50,8,OLIVE
75,14,XTREE
75,7,ALVES
75,0,SHATW
75,5,OLIVE
100,58,XTREE
100,1,ALVES
100,0,SHATW
100,4,OLIVE
25,2,XTREE
25,73,ALVES
25,90,SHATW
25,82,OLIVE
50,21,XTREE
50,13,ALVES
50,1,SHATW
50,5,OLIVE
75,12,XTREE
75,7,ALVES
75,0,SHATW
75,1,OLIVE
100,59,XTREE
100,1,ALVES
100,0,SHATW
100,2,OLIVE
25,2,XTREE
25,78,ALVES
25,90,SHATW
25,76,OLIVE
50,22,XTREE
50,10,ALVES
50,2,SHATW
50,6,OLIVE
75,13,XTREE
75,6,ALVES
75,0,SHATW
75,6,OLIVE
100,59,XTREE
100,1,ALVES
100,0,SHATW
100,3,OLIVE
25,6,XTREE
25,77,ALVES
25,90,SHATW
25,77,OLIVE
50,24,XTREE
50,12,ALVES
50,2,SHATW
50,9,OLIVE
75,12,XTREE
75,4,ALVES
75,0,SHATW
75,2,OLIVE
100,57,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,3,XTREE
25,81,ALVES
25,90,SHATW
25,74,OLIVE
50,22,XTREE
50,7,ALVES
50,1,SHATW
50,8,OLIVE
75,12,XTREE
75,4,ALVES
75,0,SHATW
75,5,OLIVE
100,59,XTREE
100,1,ALVES
100,0,SHATW
100,3,OLIVE
25,2,XTREE
25,81,ALVES
25,90,SHATW
25,79,OLIVE
50,22,XTREE
50,10,ALVES
50,3,SHATW
50,9,OLIVE
75,12,XTREE
75,2,ALVES
75,0,SHATW
75,4,OLIVE
100,59,XTREE
100,0,ALVES
100,0,SHATW
100,0,OLIVE
25,2,XTREE
25,75,ALVES
25,89,SHATW
25,74,OLIVE
50,22,XTREE
50,12,ALVES
50,2,SHATW
50,11,OLIVE
75,12,XTREE
75,6,ALVES
75,0,SHATW
75,5,OLIVE
100,59,XTREE
100,1,ALVES
100,0,SHATW
100,2,OLIVE
